Track,Artist,Album,Year,Duration,Time_Signature,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Popularity,Duration_mm,Duration_ss
Release,Afro Celt Sound System,Volume 2: Release (Real World Gold),2005-01-01,456160,4,0.633,0.828,F,-7.266,Minor,0.048,0.0216,0.0558,0.108,0.537,100.089,31,7,36.16
Saor / Free / News from Nowhere,Afro Celt Sound System,Vol. 1: Sound Magic (Real World Gold),1999-01-01,501093,4,0.511,0.524,G,-10.504,Major,0.0305,0.026,0.879,0.106,0.118,81.996,24,8,21.09
When You're Falling,Afro Celt Sound System,Volume 3 : Further In Time (Real World Gold),2003-01-01,314160,4,0.638,0.822,B,-7.305,Major,0.038,0.0508,2.54e-05,0.0895,0.802,99.01,36,5,14.16
Whirl-Y-Reel 1,Afro Celt Sound System,Vol. 1: Sound Magic (Real World Gold),1999-01-01,441200,4,0.645,0.81,D,-8.133,Major,0.0381,0.132,0.395,0.0825,0.53,132.021,25,7,21.20
Electric Rendezvous,Al Di Meola,Electric Rendezvous,1982-01-01,467266,4,0.337,0.658,A,-12.241,Major,0.0388,0.101,0.748,0.113,0.507,108.143,19,7,47.27
"Fantasia Suite - Live at Warfield Theatre, San Francisco, CA - December 5, 1980",Al Di Meola,Friday Night in San Francisco,1981-01-01,530506,4,0.341,0.497,A,-13.473,Major,0.0344,0.726,0.537,0.763,0.458,100.246,27,8,50.51
"Lady of Rome, Sister of Brazil",Al Di Meola,Elegant Gypsy,1980-01-01,106240,4,0.71,0.267,A,-16.617,Major,0.0435,0.868,0.706,0.0676,0.18,110.909,34,1,46.24
"Mediterranean Sundance / Rio Ancho - Live at Warfield Theatre, San Francisco, CA - December 5, 1980",Al Di Meola,Friday Night in San Francisco,1981-01-01,691306,4,0.415,0.576,E,-11.628,Minor,0.0331,0.834,0.808,0.698,0.556,100.54,46,11,31.31
Race With Devil On Spanish Highway,Al Di Meola,Elegant Gypsy,1979-01-01,378266,4,0.318,0.772,D,-11.606,Major,0.0633,0.139,0.531,0.238,0.661,88.648,28,6,18.27
The Wizard,Al Di Meola,Land Of The Midnight Sun,1986-01-01,406133,4,0.378,0.552,F# / Gb,-14.155,Major,0.0519,0.369,0.851,0.247,0.652,157.859,18,6,46.13
Ai Du (with Ry Cooder),Ali Farka Touré,Talking Timbuktu,1990-01-01,429973,3,0.57,0.225,F,-17.168,Minor,0.029,0.306,0.0586,0.0689,0.408,151.78,53,7,9.97
Banga (with Ry Cooder),Ali Farka Touré,Talking Timbuktu,2013-01-01,152826,4,0.511,0.306,B,-22.718,Major,0.0617,0.636,0.843,0.0905,0.631,77.991,29,2,32.83
Bonde (with Ry Cooder),Ali Farka Touré,Talking Timbuktu,2013-01-01,328826,4,0.514,0.532,D,-17.026,Major,0.0936,0.712,0.00523,0.0816,0.553,113.821,45,5,28.83
Diaraby (with Ry Cooder),Ali Farka Touré,Talking Timbuktu,1990-01-01,446826,4,0.558,0.275,G,-18.639,Minor,0.036,0.784,0.0706,0.0831,0.325,142.681,38,7,26.83
Gomni (with Ry Cooder),Ali Farka Touré,Talking Timbuktu,1990-01-01,420800,4,0.404,0.393,G# / Ab,-18.083,Major,0.0368,0.479,0.21,0.0387,0.7,78.914,37,7,0.80
Inchana Massina (feat. Nitin Sawhney),Ali Farka Touré,The Source,2005-01-01,313760,4,0.542,0.511,F# / Gb,-12.026,Major,0.0349,0.776,0.278,0.0732,0.44,80.762,16,5,13.76
Karaw,Ali Farka Touré,The Source,2001-01-01,388493,4,0.423,0.433,F,-11.381,Minor,0.0343,0.837,0.0197,0.0903,0.513,89.55,12,6,28.49
